HEXUKI EXHAUSTIVE OPENING ANALYSIS
Timestamp,2025-10-21T22:54:47.758Z
Total Openings Tested,54
Games Per Opening,50
Total Games,2700
MCTS Simulations,1000
Minimax Threshold,8 empty hexes

OPENING RANKINGS (Sorted by P1 Win Rate)
Rank,Opening,Hex,Tile,Games,P1 Wins,P2 Wins,Draws,P1 Win %,Avg Score Diff,Avg P1 Score,Avg P2 Score,Best P2 Response,P2 Response Count,P2 Response Win %,Best P1 Move 3,Move 3 Win %,Move 3 Count
1,h6t6,6,6,50,36,14,0,72.0%,357.7,1808.9,1451.2,h1t1,10,10.0%,h3t9,100.0%,8
2,h11t9,11,9,50,36,14,0,72.0%,158.2,1463.1,1304.9,h8t1,9,0.0%,h13t1,78.8%,33
3,h7t9,7,9,50,35,15,0,70.0%,168.6,1515.7,1347.1,h4t1,8,0.0%,h5t2,100.0%,3
4,h7t8,7,8,50,34,14,2,68.0%,205.4,1565.7,1360.3,h4t1,10,0.0%,h5t2,85.7%,7
5,h6t7,6,7,50,33,17,0,66.0%,402.1,1958.9,1556.8,h1t1,8,50.0%,h3t9,100.0%,9
6,h6t5,6,5,50,32,18,0,64.0%,181.9,1684.8,1502.9,h1t1,13,23.1%,h3t9,100.0%,5
7,h6t9,6,9,50,32,18,0,64.0%,232.1,1704.5,1472.4,h4t8,8,25.0%,h3t8,100.0%,5
8,h7t6,7,6,50,32,18,0,64.0%,196.6,1665.5,1469.0,h2t9,6,33.3%,h5t1,84.6%,13
9,h12t6,12,6,50,32,17,1,64.0%,202.8,1770.1,1567.3,h17t1,9,44.4%,h6t7,100.0%,3
10,h12t7,12,7,50,31,19,0,62.0%,319.4,1847.9,1528.5,h17t1,11,18.2%,h15t8,100.0%,4
11,h7t7,7,7,50,30,20,0,60.0%,193.6,1690.9,1497.3,h2t9,6,66.7%,h5t2,100.0%,3
12,h12t5,12,5,50,30,20,0,60.0%,218.9,1796.0,1577.1,h17t1,11,18.2%,h15t8,100.0%,3
13,h11t7,11,7,50,29,21,0,58.0%,144.6,1549.7,1405.1,h16t9,8,87.5%,h13t1,72.2%,18
14,h4t6,4,6,50,27,23,0,54.0%,35.5,1556.3,1520.7,h1t1,21,38.1%,h2t1,100.0%,5
15,h7t5,7,5,50,26,24,0,52.0%,54.3,1544.4,1490.1,h2t9,9,44.4%,h6t1,66.7%,3
16,h14t4,14,4,50,26,24,0,52.0%,-30.3,1465.6,1495.9,h17t1,8,50.0%,h16t2,66.7%,3
17,h6t3,6,3,50,25,25,0,50.0%,-74.3,1343.8,1418.0,h1t1,22,63.6%,h13t1,100.0%,3
18,h11t8,11,8,50,25,25,0,50.0%,24.7,1451.4,1426.7,h16t9,7,85.7%,h13t1,77.3%,22
19,h12t4,12,4,50,25,25,0,50.0%,67.9,1495.5,1427.6,h17t1,13,46.2%,h13t1,100.0%,3
20,h4t5,4,5,50,24,26,0,48.0%,42.4,1581.4,1539.1,h1t1,13,53.8%,h3t8,75.0%,4
21,h11t5,11,5,50,24,26,0,48.0%,-20.2,1545.4,1565.7,h16t8,6,66.7%,h16t1,60.0%,5
22,h11t6,11,6,50,24,26,0,48.0%,-12.9,1444.6,1457.5,h16t8,7,100.0%,h13t2,75.0%,4
23,h12t3,12,3,50,23,27,0,46.0%,32.3,1489.5,1457.2,h17t1,18,66.7%,h15t9,50.0%,6
24,h6t4,6,4,50,22,28,0,44.0%,72.8,1509.4,1436.5,h1t1,18,55.6%,h13t1,100.0%,3
25,h6t8,6,8,50,22,27,1,44.0%,23.3,1671.9,1648.7,h1t1,7,57.1%,h3t7,100.0%,3
26,h14t6,14,6,50,22,28,0,44.0%,-23.9,1461.1,1485.0,h17t1,18,50.0%,h16t2,100.0%,5
27,h4t3,4,3,50,21,29,0,42.0%,-40.5,1444.3,1484.7,h1t1,12,58.3%,h3t8,100.0%,3
28,h4t4,4,4,50,21,28,1,42.0%,26.4,1473.9,1447.5,h1t1,11,27.3%,h7t1,50.0%,8
29,h11t4,11,4,50,21,29,0,42.0%,22.0,1413.7,1391.7,h16t9,8,87.5%,h12t1,22.2%,9
30,h7t4,7,4,50,20,30,0,40.0%,-44.4,1408.3,1452.7,h2t7,8,75.0%,h6t5,100.0%,3
31,h12t8,12,8,50,19,31,0,38.0%,95.4,1716.5,1621.1,h17t1,11,36.4%,h16t1,75.0%,4
32,h11t3,11,3,50,18,31,1,36.0%,-54.5,1322.9,1377.5,h16t9,6,66.7%,h1t9,100.0%,3
33,h14t2,14,2,50,18,32,0,36.0%,-30.2,1380.3,1410.5,h12t1,12,75.0%,h10t9,50.0%,4
34,h14t5,14,5,50,17,33,0,34.0%,-136.3,1453.1,1589.4,h17t1,13,53.8%,h17t9,66.7%,3
35,h4t2,4,2,50,16,34,0,32.0%,-104.7,1265.2,1370.0,h6t1,18,72.2%,h8t9,60.0%,5
36,h7t2,7,2,50,16,34,0,32.0%,-217.9,1281.9,1499.8,h2t7,8,87.5%,h2t1,46.7%,15
37,h7t3,7,3,50,16,34,0,32.0%,-101.8,1283.2,1385.1,h2t9,11,72.7%,h4t1,33.3%,6
38,h14t3,14,3,50,16,34,0,32.0%,-69.1,1393.8,1462.9,h16t9,5,100.0%,h5t1,75.0%,4
39,h4t7,4,7,50,15,35,0,30.0%,-96.0,1394.8,1490.8,h1t1,15,80.0%,h2t2,66.7%,3
40,h12t9,12,9,50,13,37,0,26.0%,-80.7,1563.7,1644.4,h17t1,8,87.5%,h16t1,50.0%,6
41,h4t9,4,9,50,12,38,0,24.0%,-345.2,1333.6,1678.7,h1t1,26,92.3%,h2t1,66.7%,9
42,h14t8,14,8,50,12,38,0,24.0%,-184.1,1357.3,1541.4,h17t1,22,86.4%,h15t7,66.7%,3
43,h4t8,4,8,50,11,39,0,22.0%,-132.5,1366.5,1499.0,h1t1,25,80.0%,h2t1,75.0%,4
44,h11t2,11,2,50,9,41,0,18.0%,-229.0,1190.7,1419.8,h16t8,9,88.9%,h6t1,33.3%,3
45,h14t9,14,9,50,9,41,0,18.0%,-216.6,1291.1,1507.7,h17t1,22,86.4%,h16t1,66.7%,3
46,h4t1,4,1,50,8,42,0,16.0%,-328.8,1130.9,1459.7,h6t1,29,93.1%,h8t9,36.4%,11
47,h14t1,14,1,50,8,42,0,16.0%,-264.6,1112.3,1377.0,h12t1,24,83.3%,h10t8,50.0%,6
48,h12t2,12,2,50,7,43,0,14.0%,-207.7,1275.3,1483.1,h17t1,20,90.0%,h5t1,33.3%,3
49,h14t7,14,7,50,7,43,0,14.0%,-310.0,1393.2,1703.2,h17t1,18,83.3%,h16t1,100.0%,3
50,h6t2,6,2,50,6,44,0,12.0%,-201.3,1265.5,1466.8,h1t1,20,95.0%,h8t9,50.0%,6
51,h12t1,12,1,50,5,45,0,10.0%,-398.8,1121.3,1520.0,h17t1,14,92.9%,h10t9,28.6%,14
52,h7t1,7,1,50,2,48,0,4.0%,-458.6,1145.9,1604.4,h10t7,7,85.7%,h11t9,25.0%,4
53,h6t1,6,1,50,1,49,0,2.0%,-337.3,1134.0,1471.3,h1t1,21,100.0%,h8t9,12.5%,8
54,h11t1,11,1,50,1,49,0,2.0%,-352.6,1109.9,1462.5,h14t9,10,100.0%,N/A,0.0%,0

DETAILED OPENING BREAKDOWN

=== h6t6 ===
Games: 50 | P1 Win Rate: 72.0% | Avg Score Diff: 357.7

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h3t6,1,1,0,100.0%
h11t4,1,1,0,100.0%
h8t5,1,1,0,100.0%
h14t4,1,0,1,0.0%
h11t1,1,0,1,0.0%
h12t4,1,1,0,100.0%
h13t2,1,0,1,0.0%
h16t1,1,0,1,0.0%
h8t6,1,1,0,100.0%
h7t9,1,1,0,100.0%
h7t1,1,0,1,0.0%

=== h6t5 ===
Games: 50 | P1 Win Rate: 64.0% | Avg Score Diff: 181.9

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h1t1,13,10,3,23.1%
h1t2,5,3,2,40.0%
h4t8,5,3,2,40.0%
h7t2,3,3,0,0.0%
h4t9,2,2,0,0.0%
h1t3,2,2,0,0.0%
h14t4,1,1,0,0.0%
h11t1,1,1,0,0.0%
h14t3,1,1,0,0.0%
h4t5,1,0,1,100.0%
h11t9,1,1,0,0.0%
h11t3,1,1,0,0.0%
h8t2,1,0,1,100.0%
h4t4,1,0,1,100.0%
h14t7,1,0,1,100.0%
h8t4,1,1,0,0.0%
h11t2,1,0,1,100.0%
h8t9,1,1,0,0.0%
h14t5,1,0,1,100.0%
h8t8,1,0,1,100.0%
h4t6,1,1,0,0.0%
h7t6,1,0,1,100.0%
h11t7,1,0,1,100.0%
h4t1,1,0,1,100.0%
h1t4,1,0,1,100.0%
h4t3,1,1,0,0.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h4t1,6,4,2,66.7%
h3t9,5,5,0,100.0%
h1t8,4,3,1,75.0%
h7t1,3,1,2,33.3%
h2t1,3,3,0,100.0%
h12t9,3,2,1,66.7%
h3t8,2,2,0,100.0%
h8t1,2,1,1,50.0%
h7t2,2,1,1,50.0%
h4t2,2,1,1,50.0%
h1t9,2,2,0,100.0%
h2t2,1,1,0,100.0%
h3t7,1,1,0,100.0%
h8t2,1,0,1,0.0%
h17t9,1,1,0,100.0%
h12t2,1,0,1,0.0%
h7t4,1,0,1,0.0%
h8t8,1,1,0,100.0%
h14t4,1,0,1,0.0%
h3t6,1,0,1,0.0%
h8t3,1,0,1,0.0%
h11t7,1,1,0,100.0%
h10t2,1,1,0,100.0%
h17t8,1,0,1,0.0%
h12t3,1,0,1,0.0%
h11t3,1,0,1,0.0%
h2t4,1,1,0,100.0%

=== h6t9 ===
Games: 50 | P1 Win Rate: 64.0% | Avg Score Diff: 232.1

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h4t8,8,6,2,25.0%
h1t1,7,3,4,57.1%
h1t2,5,2,3,60.0%
h4t9,4,4,0,0.0%
h8t9,3,1,2,66.7%
h4t7,3,2,1,33.3%
h8t8,3,1,2,66.7%
h1t4,3,3,0,0.0%
h8t7,2,1,1,50.0%
h7t2,2,2,0,0.0%
h7t1,2,2,0,0.0%
h1t3,1,0,1,100.0%
h7t3,1,1,0,0.0%
h11t9,1,1,0,0.0%
h1t5,1,0,1,100.0%
h11t1,1,1,0,0.0%
h14t7,1,1,0,0.0%
h8t6,1,0,1,100.0%
h11t5,1,1,0,0.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h2t1,18,16,2,88.9%
h4t1,8,1,7,12.5%
h3t8,5,5,0,100.0%
h4t2,5,1,4,20.0%
h3t5,3,3,0,100.0%
h2t2,2,1,1,50.0%
h7t3,1,1,0,100.0%
h8t1,1,0,1,0.0%
h12t5,1,1,0,100.0%
h12t8,1,0,1,0.0%
h0t7,1,1,0,100.0%
h0t4,1,0,1,0.0%
h7t6,1,1,0,100.0%
h7t1,1,0,1,0.0%
h3t7,1,1,0,100.0%

=== h7t6 ===
Games: 50 | P1 Win Rate: 64.0% | Avg Score Diff: 196.6

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h2t9,6,4,2,33.3%
h4t2,4,4,0,0.0%
h2t7,4,1,3,75.0%
h4t3,4,2,2,50.0%
h4t1,3,1,2,66.7%
h4t4,3,3,0,0.0%
h2t8,3,0,3,100.0%
h6t5,3,0,3,100.0%
h10t1,2,2,0,0.0%
h6t4,2,1,1,50.0%
h10t2,2,2,0,0.0%
h12t3,2,2,0,0.0%
h6t1,1,1,0,0.0%
h12t7,1,1,0,0.0%
h12t4,1,1,0,0.0%
h6t8,1,1,0,0.0%
h12t6,1,0,1,100.0%
h12t5,1,1,0,0.0%
h14t8,1,1,0,0.0%
h6t2,1,1,0,0.0%
h2t6,1,1,0,0.0%
h12t9,1,1,0,0.0%
h14t3,1,1,0,0.0%
h6t7,1,0,1,100.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h5t1,13,11,2,84.6%
h10t1,5,2,3,40.0%
h2t1,5,4,1,80.0%
h5t3,3,1,2,33.3%
h5t2,2,2,0,100.0%
h14t8,2,2,0,100.0%
h15t7,1,1,0,100.0%
h5t8,1,1,0,100.0%
h1t8,1,1,0,100.0%
h8t2,1,0,1,0.0%
h1t9,1,1,0,100.0%
h11t7,1,0,1,0.0%
h1t5,1,0,1,0.0%
h12t3,1,1,0,100.0%
h16t1,1,1,0,100.0%
h0t3,1,0,1,0.0%
h10t8,1,1,0,100.0%
h10t2,1,0,1,0.0%
h8t4,1,1,0,100.0%
h6t1,1,0,1,0.0%
h2t2,1,1,0,100.0%
h14t7,1,1,0,100.0%
h4t3,1,0,1,0.0%
h10t4,1,0,1,0.0%
h6t2,1,0,1,0.0%
h4t7,1,0,1,0.0%

=== h12t6 ===
Games: 50 | P1 Win Rate: 64.0% | Avg Score Diff: 202.8

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h17t1,9,5,4,44.4%
h17t2,5,4,1,20.0%
h10t9,3,2,1,33.3%
h14t7,3,2,1,33.3%
h4t3,3,2,0,0.0%
h17t3,2,0,2,100.0%
h14t8,2,1,1,50.0%
h4t8,2,1,1,50.0%
h14t9,2,2,0,0.0%
h11t4,1,1,0,0.0%
h4t9,1,1,0,0.0%
h11t8,1,1,0,0.0%
h11t3,1,1,0,0.0%
h17t4,1,1,0,0.0%
h7t5,1,1,0,0.0%
h4t5,1,1,0,0.0%
h11t1,1,1,0,0.0%
h14t5,1,0,1,100.0%
h7t2,1,0,1,100.0%
h11t5,1,0,1,100.0%
h4t6,1,0,1,100.0%
h10t7,1,1,0,0.0%
h10t8,1,1,0,0.0%
h14t4,1,0,1,100.0%
h11t9,1,1,0,0.0%
h7t6,1,1,0,0.0%
h14t6,1,0,1,100.0%
h10t6,1,1,0,0.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h16t1,6,5,1,83.3%
h15t9,5,4,1,80.0%
h6t7,3,3,0,100.0%
h17t9,3,2,1,66.7%
h14t1,2,2,0,100.0%
h6t8,2,0,2,0.0%
h5t1,2,2,0,100.0%
h7t9,2,1,1,50.0%
h11t1,2,1,1,50.0%
h16t2,2,1,1,50.0%
h13t1,1,1,0,100.0%
h2t1,1,1,0,100.0%
h17t8,1,0,1,0.0%
h7t3,1,0,1,0.0%
h10t5,1,0,1,0.0%
h15t8,1,0,1,0.0%
h15t7,1,1,0,100.0%
h1t8,1,1,0,100.0%
h0t8,1,0,0,0.0%
h1t7,1,1,0,100.0%
h6t9,1,1,0,100.0%
h14t7,1,0,1,0.0%
h17t3,1,0,1,0.0%
h0t2,1,0,1,0.0%
h17t7,1,1,0,100.0%
h7t7,1,1,0,100.0%
h14t4,1,0,1,0.0%
h15t5,1,1,0,100.0%
h14t2,1,1,0,100.0%
h14t3,1,0,1,0.0%
h7t4,1,1,0,100.0%

=== h12t7 ===
Games: 50 | P1 Win Rate: 62.0% | Avg Score Diff: 319.4

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h17t1,11,9,2,18.2%
h17t2,4,1,3,75.0%
h7t5,4,2,2,50.0%
h14t6,3,1,2,66.7%
h10t7,3,0,3,100.0%
h4t1,3,3,0,0.0%
h17t3,2,1,1,50.0%
h10t6,2,0,2,100.0%
h10t4,2,2,0,0.0%
h4t8,2,2,0,0.0%
h14t3,2,2,0,0.0%
h14t9,2,2,0,0.0%
h17t4,1,1,0,0.0%
h4t4,1,1,0,0.0%
h7t3,1,1,0,0.0%
h10t1,1,1,0,0.0%
h11t9,1,1,0,0.0%
h7t6,1,0,1,100.0%
h10t8,1,1,0,0.0%
h14t5,1,0,1,100.0%
h14t7,1,0,1,100.0%
h10t9,1,0,1,100.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h15t9,10,9,1,90.0%
h14t1,5,2,3,40.0%
h16t1,5,3,2,60.0%
h15t8,4,4,0,100.0%
h15t5,4,2,2,50.0%
h16t2,2,0,2,0.0%
h6t9,2,1,1,50.0%
h11t1,2,0,2,0.0%
h2t2,2,2,0,100.0%
h14t2,2,0,2,0.0%
h10t1,2,2,0,100.0%
h15t4,1,1,0,100.0%
h6t8,1,0,1,0.0%
h15t6,1,1,0,100.0%
h6t1,1,0,1,0.0%
h2t1,1,1,0,100.0%
h1t8,1,1,0,100.0%
h10t3,1,1,0,100.0%
h17t9,1,0,1,0.0%
h5t1,1,1,0,100.0%
h4t6,1,0,1,0.0%

=== h7t7 ===
Games: 50 | P1 Win Rate: 60.0% | Avg Score Diff: 193.6

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h2t9,6,2,4,66.7%
h4t1,5,4,1,20.0%
h2t5,4,2,2,50.0%
h2t8,4,1,3,75.0%
h10t1,4,4,0,0.0%
h4t2,4,2,2,50.0%
h14t1,2,2,0,0.0%
h14t8,2,2,0,0.0%
h10t3,2,1,1,50.0%
h14t5,2,1,1,50.0%
h2t3,2,1,1,50.0%
h12t7,1,0,1,100.0%
h10t4,1,1,0,0.0%
h2t6,1,1,0,0.0%
h6t8,1,0,1,100.0%
h4t6,1,1,0,0.0%
h6t2,1,1,0,0.0%
h2t4,1,1,0,0.0%
h6t6,1,0,1,100.0%
h6t3,1,1,0,0.0%
h10t8,1,0,1,100.0%
h14t6,1,0,1,100.0%
h14t7,1,1,0,0.0%
h10t2,1,1,0,0.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h5t1,21,17,4,81.0%
h4t9,3,1,2,33.3%
h5t2,3,3,0,100.0%
h1t8,2,2,0,100.0%
h11t1,2,0,2,0.0%
h10t9,2,1,1,50.0%
h10t1,2,2,0,100.0%
h12t4,1,1,0,100.0%
h6t1,1,0,1,0.0%
h10t5,1,1,0,100.0%
h2t2,1,0,1,0.0%
h17t6,1,1,0,100.0%
h6t9,1,0,1,0.0%
h14t9,1,0,1,0.0%
h11t6,1,0,1,0.0%
h5t3,1,1,0,100.0%
h6t2,1,0,1,0.0%
h17t8,1,0,1,0.0%
h10t8,1,0,1,0.0%
h2t3,1,0,1,0.0%
h2t8,1,0,1,0.0%
h17t9,1,0,1,0.0%

=== h12t5 ===
Games: 50 | P1 Win Rate: 60.0% | Avg Score Diff: 218.9

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h17t1,11,9,2,18.2%
h17t2,6,1,5,83.3%
h7t4,3,1,2,66.7%
h7t5,3,1,2,66.7%
h10t8,3,2,1,33.3%
h14t7,2,2,0,0.0%
h7t2,2,1,1,50.0%
h7t3,2,2,0,0.0%
h7t9,2,2,0,0.0%
h14t9,2,0,2,100.0%
h10t9,2,1,1,50.0%
h4t9,2,2,0,0.0%
h4t6,1,1,0,0.0%
h7t7,1,0,1,100.0%
h11t7,1,1,0,0.0%
h11t8,1,1,0,0.0%
h10t1,1,1,0,0.0%
h11t6,1,0,1,100.0%
h14t8,1,0,1,100.0%
h10t5,1,0,1,100.0%
h4t3,1,1,0,0.0%
h17t3,1,1,0,0.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h15t9,6,5,1,83.3%
h15t6,4,4,0,100.0%
h5t2,4,2,2,50.0%
h15t8,3,3,0,100.0%
h16t1,3,1,2,33.3%
h14t1,3,1,2,33.3%
h11t1,2,0,2,0.0%
h2t1,2,2,0,100.0%
h5t1,2,1,1,50.0%
h13t1,2,1,1,50.0%
h6t3,1,1,0,100.0%
h10t9,1,0,1,0.0%
h14t3,1,1,0,100.0%
h6t7,1,1,0,100.0%
h11t3,1,1,0,100.0%
h6t6,1,0,1,0.0%
h10t1,1,0,1,0.0%
h7t1,1,1,0,100.0%
h11t7,1,0,1,0.0%
h10t3,1,0,1,0.0%
h4t3,1,1,0,100.0%
h11t2,1,1,0,100.0%
h17t9,1,0,1,0.0%
h14t2,1,0,1,0.0%
h11t6,1,1,0,100.0%
h1t9,1,1,0,100.0%
h6t9,1,1,0,100.0%
h17t6,1,0,1,0.0%
h7t8,1,0,1,0.0%

=== h11t7 ===
Games: 50 | P1 Win Rate: 58.0% | Avg Score Diff: 144.6

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h16t9,8,1,7,87.5%
h16t6,5,2,3,60.0%
h14t1,4,4,0,0.0%
h12t1,4,3,1,25.0%
h8t2,4,3,1,25.0%
h12t9,3,2,1,33.3%
h16t8,3,0,3,100.0%
h12t4,2,0,2,100.0%
h8t1,2,2,0,0.0%
h8t5,1,0,1,100.0%
h4t5,1,1,0,0.0%
h14t2,1,0,1,100.0%
h6t2,1,1,0,0.0%
h14t8,1,1,0,0.0%
h14t5,1,0,1,100.0%
h4t1,1,1,0,0.0%
h8t3,1,1,0,0.0%
h12t6,1,1,0,0.0%
h6t1,1,1,0,0.0%
h6t7,1,1,0,0.0%
h4t2,1,1,0,0.0%
h16t4,1,1,0,0.0%
h4t8,1,1,0,0.0%
h14t3,1,1,0,0.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h13t1,18,13,5,72.2%
h13t2,5,3,2,60.0%
h12t1,3,0,3,0.0%
h7t1,2,2,0,100.0%
h8t9,2,0,2,0.0%
h6t1,2,2,0,100.0%
h6t2,1,1,0,100.0%
h8t8,1,0,1,0.0%
h17t9,1,1,0,100.0%
h12t9,1,0,1,0.0%
h7t2,1,0,1,0.0%
h15t8,1,0,1,0.0%
h7t9,1,1,0,100.0%
h7t3,1,0,1,0.0%
h13t3,1,1,0,100.0%
h18t6,1,0,1,0.0%
h8t3,1,0,1,0.0%
h14t8,1,0,1,0.0%
h6t5,1,1,0,100.0%
h7t4,1,0,1,0.0%
h4t9,1,1,0,100.0%
h16t1,1,1,0,100.0%
h18t3,1,1,0,100.0%
h7t5,1,1,0,100.0%

=== h4t6 ===
Games: 50 | P1 Win Rate: 54.0% | Avg Score Diff: 35.5

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h1t1,21,13,8,38.1%
h2t9,8,2,6,75.0%
h2t8,5,1,4,80.0%
h7t1,3,3,0,0.0%
h1t2,2,1,1,50.0%
h11t8,2,1,1,50.0%
h6t9,1,1,0,0.0%
h11t9,1,1,0,0.0%
h1t3,1,1,0,0.0%
h7t6,1,1,0,0.0%
h11t3,1,1,0,0.0%
h7t4,1,0,1,100.0%
h7t2,1,0,1,100.0%
h12t6,1,0,1,100.0%
h12t2,1,1,0,0.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h2t1,5,5,0,100.0%
h3t9,5,4,1,80.0%
h6t1,4,1,3,25.0%
h3t8,4,3,1,75.0%
h1t7,3,1,2,33.3%
h3t7,3,1,2,33.3%
h5t1,3,1,2,33.3%
h2t2,3,3,0,100.0%
h2t3,2,1,1,50.0%
h6t2,1,0,1,0.0%
h14t8,1,1,0,100.0%
h12t7,1,0,1,0.0%
h1t9,1,0,1,0.0%
h14t7,1,0,1,0.0%
h16t1,1,1,0,100.0%
h1t8,1,1,0,100.0%
h7t1,1,1,0,100.0%
h2t4,1,1,0,100.0%
h14t9,1,0,1,0.0%
h11t9,1,0,1,0.0%
h2t5,1,1,0,100.0%
h17t7,1,0,1,0.0%
h12t4,1,0,1,0.0%
h1t4,1,0,1,0.0%
h10t1,1,1,0,100.0%
h5t7,1,0,1,0.0%
h7t8,1,0,1,0.0%

=== h7t5 ===
Games: 50 | P1 Win Rate: 52.0% | Avg Score Diff: 54.3

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h2t9,9,5,4,44.4%
h2t8,3,2,1,33.3%
h4t7,2,1,1,50.0%
h14t5,2,0,2,100.0%
h4t4,2,0,2,100.0%
h2t7,2,1,1,50.0%
h12t2,2,1,1,50.0%
h6t1,2,1,1,50.0%
h12t9,2,2,0,0.0%
h14t6,2,0,2,100.0%
h2t5,2,2,0,0.0%
h2t6,2,1,1,50.0%
h14t7,1,0,1,100.0%
h2t4,1,0,1,100.0%
h4t5,1,0,1,100.0%
h4t3,1,0,1,100.0%
h12t7,1,1,0,0.0%
h6t7,1,1,0,0.0%
h4t9,1,1,0,0.0%
h6t4,1,0,1,100.0%
h12t4,1,0,1,100.0%
h10t4,1,1,0,0.0%
h14t2,1,0,1,100.0%
h10t3,1,1,0,0.0%
h14t4,1,1,0,0.0%
h10t1,1,1,0,0.0%
h4t1,1,1,0,0.0%
h6t2,1,1,0,0.0%
h12t1,1,1,0,0.0%
h10t7,1,0,1,100.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h5t1,8,5,3,62.5%
h2t1,4,2,2,50.0%
h1t9,3,0,3,0.0%
h6t1,3,2,1,66.7%
h14t1,2,1,1,50.0%
h4t4,2,2,0,100.0%
h12t1,2,0,2,0.0%
h14t8,2,0,2,0.0%
h2t2,2,0,2,0.0%
h5t2,2,2,0,100.0%
h16t4,1,0,1,0.0%
h18t3,1,0,1,0.0%
h10t4,1,0,1,0.0%
h11t1,1,0,1,0.0%
h4t1,1,0,1,0.0%
h5t3,1,1,0,100.0%
h10t7,1,1,0,100.0%
h6t9,1,0,1,0.0%
h12t9,1,1,0,100.0%
h0t7,1,1,0,100.0%
h15t8,1,1,0,100.0%
h6t2,1,1,0,100.0%
h12t3,1,0,1,0.0%
h5t6,1,1,0,100.0%
h16t2,1,1,0,100.0%
h10t1,1,1,0,100.0%
h11t6,1,1,0,100.0%
h0t9,1,1,0,100.0%
h10t6,1,1,0,100.0%
h11t8,1,0,1,0.0%

=== h14t4 ===
Games: 50 | P1 Win Rate: 52.0% | Avg Score Diff: -30.3

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h17t1,8,4,4,50.0%
h16t9,6,2,4,66.7%
h17t2,5,3,2,40.0%
h17t3,5,2,3,60.0%
h16t8,4,2,2,50.0%
h6t6,2,2,0,0.0%
h6t7,2,2,0,0.0%
h11t4,2,0,2,100.0%
h6t3,1,1,0,0.0%
h12t9,1,1,0,0.0%
h7t4,1,0,1,100.0%
h16t7,1,0,1,100.0%
h12t8,1,0,1,100.0%
h12t4,1,1,0,0.0%
h7t6,1,1,0,0.0%
h16t6,1,0,1,100.0%
h11t9,1,1,0,0.0%
h7t5,1,1,0,0.0%
h12t6,1,0,1,100.0%
h6t9,1,0,1,100.0%
h11t5,1,1,0,0.0%
h16t5,1,1,0,0.0%
h12t7,1,1,0,0.0%
h6t5,1,0,1,100.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h13t1,5,2,3,40.0%
h16t1,4,1,3,25.0%
h16t2,3,2,1,66.7%
h8t9,2,1,1,50.0%
h6t7,2,1,1,50.0%
h17t8,2,2,0,100.0%
h6t9,2,0,2,0.0%
h16t3,2,2,0,100.0%
h17t9,2,1,1,50.0%
h15t9,2,2,0,100.0%
h15t8,2,2,0,100.0%
h12t1,2,0,2,0.0%
h7t3,1,0,1,0.0%
h11t3,1,0,1,0.0%
h6t8,1,0,1,0.0%
h18t8,1,1,0,100.0%
h7t5,1,0,1,0.0%
h3t9,1,1,0,100.0%
h10t8,1,1,0,100.0%
h12t2,1,0,1,0.0%
h5t1,1,1,0,100.0%
h17t5,1,1,0,100.0%
h11t1,1,1,0,100.0%
h13t2,1,1,0,100.0%
h1t6,1,1,0,100.0%
h8t2,1,0,1,0.0%
h12t3,1,1,0,100.0%
h11t2,1,0,1,0.0%
h4t6,1,0,1,0.0%
h7t6,1,1,0,100.0%
h6t6,1,0,1,0.0%
h7t9,1,0,1,0.0%

=== h6t3 ===
Games: 50 | P1 Win Rate: 50.0% | Avg Score Diff: -74.3

